"Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","AQS_PARAMETER"
NA,12,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,15,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,22,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,3,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,10,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,19,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,8,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,10,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,18,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,7,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,24,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,5,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,9,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,14,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,11,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,10,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,13,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,33,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,17,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,15,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,44,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,18,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,10,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,30,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,23,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,5,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,21,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,18,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,7,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,25,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,19,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,12,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,19,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,32,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,15,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,11,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,7,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,9,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,11,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,30,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,42,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,20,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,35,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,49,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,11,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,22,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,23,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,9,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,5,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,15,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,16,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,33,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,39,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,18,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,41,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,42,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,20,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,20,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,24,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,25,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,43,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,22,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,34,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,47,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,31,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,29,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,18,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,21,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,34,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,25,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,5,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,21,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,21,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,35,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,43,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,25,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,20,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,21,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,45,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,27,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,24,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,29,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,32,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,22,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,9,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,3,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,35,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,30,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,13,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,20,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,25,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,26,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,23,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,6,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,20,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,5,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,12,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,12,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,5,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,8,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,22,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,15,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
NA,10,"Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072,"PM2.5"
